2025-09-15 20:54:52 | INFO | loading functions and models
2025-09-15 20:55:21 | INFO | setting up experiment
2025-09-15 20:55:24 | INFO | found device: cpu
2025-09-15 20:55:24 | INFO | fetching data
2025-09-15 20:55:24 | INFO | 1/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('vanilla_grad', <function vanilla_grad at 0x14f4e3e74a40>), 't2m', [171, 17], 'absolute'])
2025-09-15 20:55:24 | INFO | extracting params
2025-09-15 20:55:24 | INFO | opening files
2025-09-15 20:55:25 | INFO | generating viz
2025-09-15 20:55:44 | INFO | loading functions and models
2025-09-15 20:56:11 | INFO | setting up experiment
2025-09-15 20:56:11 | INFO | found device: cpu
2025-09-15 20:56:11 | INFO | fetching data
2025-09-15 20:56:11 | INFO | 1/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('vanilla_grad', <function vanilla_grad at 0x1474bbf9ca40>), 't2m', [171, 17], 'absolute'])
2025-09-15 20:56:11 | INFO | extracting params
2025-09-15 20:56:11 | INFO | opening files
2025-09-15 20:56:12 | INFO | generating viz
2025-09-15 20:56:26 | INFO | loading functions and models
2025-09-15 20:56:56 | INFO | setting up experiment
2025-09-15 20:56:56 | INFO | found device: cpu
2025-09-15 20:56:56 | INFO | fetching data
2025-09-15 20:56:56 | INFO | 1/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('vanilla_grad', <function vanilla_grad at 0x14f02acf4a40>), 't2m', [171, 17], 'absolute'])
2025-09-15 20:56:56 | INFO | extracting params
2025-09-15 20:56:56 | INFO | opening files
2025-09-15 20:56:57 | INFO | generating viz
2025-09-15 20:57:06 | INFO | loading functions and models
2025-09-15 20:57:34 | INFO | setting up experiment
2025-09-15 20:57:34 | INFO | found device: cpu
2025-09-15 20:57:34 | INFO | fetching data
2025-09-15 20:57:34 | INFO | 1/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('vanilla_grad', <function vanilla_grad at 0x14b03ffc8a40>), 't2m', [171, 17], 'absolute'])
2025-09-15 20:57:34 | INFO | extracting params
2025-09-15 20:57:34 | INFO | opening files
2025-09-15 20:57:35 | INFO | generating viz
2025-09-15 20:57:35 | INFO | completed iter
2025-09-15 20:57:35 | INFO | 2/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('gradient_times_input', <function gradient_times_input at 0x14b03ffc8b80>), 't2m', [171, 17], 'absolute'])
2025-09-15 20:57:35 | INFO | extracting params
2025-09-15 20:57:35 | INFO | opening files
2025-09-15 20:57:35 | INFO | generating viz
2025-09-15 20:58:24 | INFO | loading functions and models
2025-09-15 20:58:53 | INFO | setting up experiment
2025-09-15 20:58:53 | INFO | found device: cpu
2025-09-15 20:58:53 | INFO | fetching data
2025-09-15 20:58:53 | INFO | 1/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('vanilla_grad', <function vanilla_grad at 0x1523640c0a40>), 't2m', [171, 17], 'absolute'])
2025-09-15 20:58:53 | INFO | extracting params
2025-09-15 20:58:53 | INFO | opening files
2025-09-15 20:58:54 | INFO | generating viz
2025-09-15 20:58:54 | INFO | completed iter
2025-09-15 20:58:54 | INFO | 2/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('gradient_times_input', <function gradient_times_input at 0x1523640c0b80>), 't2m', [171, 17], 'absolute'])
2025-09-15 20:58:54 | INFO | extracting params
2025-09-15 20:58:54 | INFO | opening files
2025-09-15 20:58:55 | INFO | generating viz
2025-09-15 21:01:46 | INFO | loading functions and models
2025-09-15 21:02:16 | INFO | setting up experiment
2025-09-15 21:02:16 | INFO | fetching data
2025-09-15 21:02:16 | INFO | 1/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('vanilla_grad', <function vanilla_grad at 0x146a9eaf0a40>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:02:16 | INFO | extracting params
2025-09-15 21:02:16 | INFO | opening files
2025-09-15 21:02:17 | INFO | generating viz
2025-09-15 21:02:17 | INFO | completed iter
2025-09-15 21:02:17 | INFO | 2/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('gradient_times_input', <function gradient_times_input at 0x146a9eaf0b80>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:02:17 | INFO | extracting params
2025-09-15 21:02:17 | INFO | opening files
2025-09-15 21:02:18 | INFO | generating viz
2025-09-15 21:02:48 | INFO | loading functions and models
2025-09-15 21:03:31 | INFO | loading functions and models
2025-09-15 21:03:49 | INFO | loading functions and models
